id;image;image_content_type;image_path
1;../fake-data/blob/hipster.png;image/png;mobile Fish
2;../fake-data/blob/hipster.png;image/png;Home Loan Account Table Computer
3;../fake-data/blob/hipster.png;image/png;Trace
4;../fake-data/blob/hipster.png;image/png;Savings Account alarm
5;../fake-data/blob/hipster.png;image/png;Tasty Metal Bacon
6;../fake-data/blob/hipster.png;image/png;red Chips Soap
7;../fake-data/blob/hipster.png;image/png;Home Loan Account
8;../fake-data/blob/hipster.png;image/png;web-readiness
9;../fake-data/blob/hipster.png;image/png;Namibia
10;../fake-data/blob/hipster.png;image/png;Steel zero administration
